観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
京丹後市久美浜町小桑,その他,134.9733333,35.56805556,2016/6/8,,,1,クマの目撃情報があった。,,,26212,京丹後市
宮津市滝馬,集落内,135.1863889,35.52611111,2016/6/9,1,1,,クマの親子２頭が付近を歩いていたとのことだった。,,,26205,宮津市
京丹波町上乙見,路上,135.4447222,35.28888889,2016/6/9,,,1,クマが町道を横切り川の方へ行くのを目撃。,,,26407,京丹波町
京都市左京区花脊大布施町,路上,135.7579917,35.20707222,2016/6/9,,,1,川側から道路上に上がり、目撃者の車を見て山側へ去っていった。,100cmくらい,,26103,京都市
福知山市正明寺,畑,135.0982861,35.28555556,2016/6/9,,,,痕跡　畑にクマらしき動物の足跡　複数頭かもしれない,,,26201,福知山市
京丹後市久美浜町葛野,その他,134.9283333,35.64138889,2016/6/9,1,,,葛野浜から市道を横断し墓地の方へ行った,,,26212,京丹後市
舞鶴市大波下,路上,135.3980833,35.49230833,2016/6/10,,,1,道路で目撃。山の方へ移動,,,26202,舞鶴市
京丹後市網野町俵野,その他,134.9597222,35.63444444,2016/6/10,1,,,有害の捕獲許可をうけているくくりわなにクマが誤捕獲された。,オス　体重43kg　体長79cm,計測後放獣,26212,京丹後市
宮津市小田,その他,135.1572222,35.50472222,2016/6/10,1,,,有害の捕獲許可をうけているくくりわなにクマが誤捕獲された。,オス　体重84kg　体長91.5cm,計測後放獣,26205,宮津市
舞鶴市赤野,集落内,135.3893667,35.52311667,2016/6/10,1,,,住宅付近で目撃。山へ移動,,,26202,舞鶴市
舞鶴市登尾,路上,135.4402917,35.50274722,2016/6/10,,,1,グリーンスポーツセンター第三駐車場付近の道をクマが横断するのを目撃,,,26202,舞鶴市
京都市右京区京北小塩町,集落内,135.703125,35.21954167,2016/6/10,1,,,集落内にあるバス停付近出没したクマを目撃,,,26108,京都市
舞鶴市登尾,集落内,135.4411806,35.50444167,2016/6/10,,,,グリーンスポーツセンター付近で目撃,,,26202,舞鶴市
京丹後市大宮町明田,路上,135.1222222,35.58666667,2016/6/11,1,2,,母グマが50cmくらいの子グマ２頭をつれて右側の山から左側の谷へ歩いていった。,子グマ50cmくらい,,26212,京丹後市
京丹後市大宮町明田,路上,135.1222222,35.58666667,2016/6/11,1,2,,親子グマを目撃した。,,,26212,京丹後市
舞鶴市白屋,集落内,135.4428722,35.49668611,2016/6/11,,1,,吉野川側から高専寮付近に子グマが柵を越えて侵入するのを目撃。校内放送で注意喚起。職員が捜索したが確認できず。,,食品残渣等の放置がないよう依頼。グリーンスポーツセンターに出没情報の提供,26202,舞鶴市
与謝野町後野,水田,135.1055556,35.49444444,2016/6/11,,,1,農地にクマの足跡を発見した。,,,26465,与謝野町
舞鶴市大俣,路上,135.2005,35.43634722,2016/6/11,,1,,京都縦貫道上で子グマが車にはねられ瀕死。到着時には死亡,０．８ｍ　２０kg　オス,交通事故死,26202,舞鶴市
宮津市中波見,路上,135.2316667,35.63,2016/6/12,,1,,府道上でクマを目撃した。,,,26205,宮津市
京丹後市峰山町丹波,集落内,135.0794444,35.63527778,2016/6/12,1,,,軽自動車とぶつかり、二回転ほどして内記から竹野川を渡り、多久神社方向へ逃げて行った。,,丹波区長へは報告済み,26212,京丹後市
与謝野町石川（堂谷）,その他,135.1369444,35.54861111,2016/6/12,,,1,北丹生コン付近で片足のないクマを目撃した。,,,26465,与謝野町
舞鶴市泉源寺,集落内,135.4073944,35.48433889,2016/6/12,,1,,泉源寺付近裏山でクマが山の方に歩いて行くのを目撃,,,26202,舞鶴市
与謝野町男山,路上,135.1608333,35.58527778,2016/6/13,1,1,,一般廃棄物処理場付近でクマを目撃した。,,,26465,与謝野町
京丹後市網野町木津,集落内,134.9902778,35.66,2016/6/13,1,,,道路を横断して山へ入っていった。,100cmくらい,区長から周辺住民へ注意喚起,26212,京丹後市
京丹後市大宮町奥大野,集落内,135.0827778,35.56111111,2016/6/13,,1,,保育所自動送迎車両で常吉に移動中に目撃した。,,,26212,京丹後市
京丹後市大宮町奥大野,集落内,135.0838889,35.56444444,2016/6/13,,1,,住宅街から山へ入っていくクマを目撃した。,,,26212,京丹後市
綾部市井根町,路上,135.3557194,35.33941389,2016/6/13,1,,,井根口バス停付近から北側の山へ移動。,１ｍ,,26203,綾部市
宮津市下世屋,集落内,135.2130556,35.62944444,2016/6/13,,1,,府道から山へ移動するクマを目撃した。,,,26205,宮津市
京都市左京区広河原,ヒノキ林,135.779,35.26429722,2016/6/13,,,1,パトロール中に熊剥ぎされたヒノキを発見,,,26103,京都市
与謝野町上山田,集落内,135.1127778,35.53972222,2016/6/13,,,1,お寺付近の民家裏で目撃した。,,,26465,与謝野町
綾部市金河内町,路上,135.2456472,35.38375556,2016/6/14,,,1,道路公団がパトロール中に高速道路上で目撃。南側の山へ移動,,,26203,綾部市
