AED設置場所名称,よみ,住所,経度,緯度,利用開始時間,利用終了時間,設置位置,注意事項,URL,備考
南丹市立日吉中央保育所,なんたんしりつひよしちゅうおうほいくしょ,南丹市日吉町保野田垣ノ内１１・１２　１合地,135.5012289,35.16476877,,,正面玄関,,,
南丹市立興風保育所,なんたんしりつこうふうほいくしょ,南丹市日吉町田原渕谷口２６−２,135.5197919,35.19075232,,,２階　職員室前,,,
南丹市立胡麻保育所,なんたんしりつごまほいくしょ,南丹市日吉町胡麻中野辺谷７３,135.4648682,35.20087358,,,玄関ロビー,,,
南丹市立みやま保育所,なんたんしりつみやまほいくしょ,南丹市美山町島島台５３,135.5493425,35.2730678,,,職員室内,,,
南丹市立知井保育所,なんたんしりつちいほいくしょ,南丹市美山町中勘定７,135.6430674,35.31354816,,,幼児玄関,,,
南丹市立園部小学校,なんたんしりつそのべしょうがっこう,南丹市園部町小桜町２６−２,135.4686387,35.10916956,,,１階玄関入口（屋内）,,,
南丹市立園部第二小学校,なんたんしりつそのべだいにしょうがっこう,南丹市園部町小山東町平成台２号７８　外,135.484717,35.09527873,,,１階　職員室前廊下,,,
南丹市立川辺小学校,なんたんしりつかわべしょうがっこう,南丹市園部町船岡長畑５２−３,135.4942278,35.13167404,,,１階　体育館入口,,,
南丹市立摩気小学校,なんたんしりつまけしょうがっこう,南丹市園部町宍人市場１１１,135.4409505,35.08992144,,,体育館入口横,,,
南丹市立西本梅小学校,なんたんしりつにしほんめしょうがっこう,南丹市園部町南八田中山１７,135.4330177,35.06148542,,,体育館の玄関内,,,
南丹市立八木小学校,なんたんしりつやぎしょうがっこう,南丹市八木町八木東所１５,135.5316061,35.06718761,,,正面玄関,,,
南丹市立富本小学校,なんたんしりつとみもとしょうがっこう,南丹市八木町青戸馬垣内１３−１,135.5471251,35.07845873,,,正面玄関前,,,
南丹市立新庄小学校,なんたんしりつしんじょうしょうがっこう,南丹市八木町船枝才ノ上４８,135.5228469,35.10523676,,,１階　職員玄関,,,
南丹市立吉富小学校,なんたんしりつよしとみしょうがっこう,南丹市八木町鳥羽鳥栄本１１,135.511492,35.0881951,,,管理棟１階玄関,,,
南丹市立神吉小学校,なんたんしりつかみよししょうがっこう,南丹市八木町神吉西河原１５,135.5856746,35.10774158,,,玄関内左側,,,
南丹市立殿田小学校,なんたんしりつとのだしょうがっこう,南丹市日吉町殿田大貝２５　外,135.5057954,35.16112837,,,１階玄関前（入って左手）,,,
南丹市立胡麻郷小学校,なんたんしりつごまごうしょうがっこう,南丹市日吉町胡麻中野辺谷３−３　外,135.4651291,35.19944353,,,管理特別教室棟,,,
南丹市立知井小学校,なんたんしりつちいしょうがっこう,南丹市美山町中穴原８,135.6441167,35.31320159,,,昇降口　廊下（体育館通路入口付近）,,,
南丹市立平屋小学校,なんたんしりつひらやしょうがっこう,南丹市美山町安掛上ノ山１７,135.5897212,35.27996738,,,１階玄関左手,,,
南丹市立宮島小学校,なんたんしりつみやじましょうがっこう,南丹市美山町島島台５２,135.5486275,35.27219274,,,正面玄関,,,
南丹市立鶴ヶ岡小学校,なんたんしりつつるがおかしょうがっこう,南丹市美山町鶴ヶ岡宮ノ前２３−２,135.5588222,35.32055216,,,職員玄関横内側（入口）,,,
南丹市立大野小学校,なんたんしりつおおのしょうがっこう,南丹市美山町三埜南畑２８,135.5034768,35.27348491,,,正面玄関入口,,,
南丹市立園部中学校,なんたんしりつそのべちゅうがっこう,南丹市園部町横田３号５１,135.4647387,35.10812359,,,職員玄関横,,,
南丹市立八木中学校,なんたんしりつやぎちゅうがっこう,南丹市八木町八木野條１,135.529594,35.072835,,,本館　玄関横,,,
南丹市立殿田中学校,なんたんしりつとのだちゅうがっこう,南丹市日吉町殿田大貝３０　外,135.50688,35.15959079,,,玄関入口,,,
南丹市立美山中学校,なんたんしりつみやまちゅうがっこう,南丹市美山町静原桧野１０−１,135.5507555,35.27664477,,,本館１階　職員玄関入口,,,
木津川市役所本館,きずがわしやくしょ,木津川市木津南垣外１１０−９,135.8200719,34.73716501,,,１階ホール,,,
木津川市役所総務課,きずがわしやくしょそうむか,木津川市木津南垣外１１０−９,135.8200719,34.73716501,,,３階危機管理室,,,
木津川市役所北別館,きずがわしやくしょきたべっかん,木津川市木津南垣外１５−２,135.8204237,34.73776458,,,事務所,,,
木津川市山城支所,きずがわしやましろししょ,木津川市山城町上狛北的場３−１,135.8175655,34.74979108,,,正面玄関内,,,
木津川市加茂支所,きずがわしかもししょ,木津川市加茂町里南古田１５６,135.8663603,34.75198034,,,正面玄関奥,,,
南加茂台公民館,ながもだいこうみんかん,木津川市南加茂台５丁目２−３,135.8715025,34.73988084,,,玄関ホール,,,
中央交流会館,きずがわしちゅうおうこうりゅうかいかん,木津川市木津宮ノ内９２,135.8188102,34.73067784,,,受付前,,,
中央図書館,きずがわしちゅうおうとしょかん,木津川市木津町内垣外３６,135.8150322,34.73634682,,,受付横,,,
中央体育館,きずがわしちゅうおうたいいくかん,木津川市木津石塚１４７,135.8091053,34.7285076,,,１階入り口,,,
中央体育館,きずがわしちゅうおうたいいくかん,木津川市木津石塚１４７,135.8091053,34.7285076,,,１階事務所内,,,
加茂文化センター,かもぶんかせんたー,木津川市加茂町里南古田１５６,135.8660001,34.75132995,,,１階フロアー,,,
山城総合文化センター,やましろそうごうぶんかせんたー,木津川市山城町平尾前田２４,135.8121249,34.77594238,,,正面玄関ホール,,,
市民スポーツセンター,きずがわしみんすぽーつせんたー,木津川市木津田中前４０−１,135.8095753,34.73207354,,,１階入り口,,,
山城町森林公園,やましろちょうしんりんこうえん,木津川市山城町神童子三上山１,135.8544497,34.78311051,,,事務所内,,,
加茂青少年山の家,かもせいしょうねんやまのいえ,木津川市加茂町尻枝七辻１５−１,135.8694108,34.723686,,,玄関ホール,,,
やすらぎタウン山城プール,やすらぎたうんやましろぷーる,木津川市山城町椿井柳田２６,135.8157897,34.75709369,,,玄関ホール券売機横,,,
共同浴場いずみ湯,きょうどうよくじょういずみゆ,木津川市木津清水２８,135.8193372,34.7351119,,,ロビー,,,
共同浴場やすらぎの湯,きょうどうよくじょうやすらぎのゆ,木津川市加茂町北廣２５−２,135.8811095,34.76154017,,,玄関ホール,,,
加茂人権センター,かもじんけんせんたー,木津川市加茂町北小谷５５−２,135.8832271,34.76151761,,,玄関ホール,,,
山城保健センター,やましろほけんせんたー,木津川市山城町椿井北代１０２,135.8140231,34.76469323,,,正面玄関奥,,,
木津保健センター,きずほけんせんたー,木津川市木津清水２７−２４,135.8203683,34.73458983,,,事務所,,,
木津老人福祉センター,きずろうじんふくしせんたー,木津川市木津川端１９,135.8170858,34.73941596,,,玄関ホール,,,
相楽老人福祉センター,そうらくろうじんふくしせんたー,木津川市相楽台４丁目３,135.7956532,34.73246946,,,事務所,,,
木津川台小学校,きずがわだいしょうがっこう,木津川市木津川台２丁目４,135.7888184,34.74402626,,,体育館,,,
高の原小学校,たかのはらしょうがっこう,木津川市兜台４町目４‐１,135.7824701,34.72744361,,,体育館,,,
相楽台小学校,さがなかだいしょうがっこう,木津川市相楽台５丁目１７−１,135.7970948,34.72674439,,,体育館,,,
木津小学校,きずしょうがっこう,木津川市木津町内垣外９５,135.8161657,34.73717324,,,体育館,,,
相楽小学校,さがなかしょうがっこう,木津川市相楽清水１,135.8017394,34.7356432,,,体育館,,,
州見台小学校,くにみだいしょうがっこう,木津川市州見台１丁目３２,135.8240355,34.71756651,,,体育館,,,
梅美台小学校,うめみだいしょうがっこう,木津川市梅美台４丁目２６−１,135.840283,34.7165864,,,体育館,,,
南加茂台小学校,ながもだいしょうがっこう,木津川市南加茂台１２丁目１１,135.8715402,34.73546897,,,正面玄関ホール,,,
棚倉小学校,たなくらしょうがっこう,木津川市山城町綺田局塚１４,135.8112719,34.78245858,,,職員室前,,,
上狛小学校,かみこましょうがっこう,木津川市山城町上狛学校１,135.8184952,34.75332115,,,玄関,,,
恭仁小学校,くにしょうがっこう,木津川市加茂町例幣中切３１・３２,135.861447,34.7655064,,,玄関,,,
加茂小学校,かもしょうがっこう,木津川市加茂町里西上田１１−１,135.8665971,34.74815459,,,玄関ホール,,,
木津小学校鹿背山分校,きずしょうがっこうかせやまぶんこう,木津川市鹿背山鹿曲田７７,135.840273,34.74381919,,,教室内,,,
木津中学校,きずちゅうがっこう,木津川市相楽高下４‐５,135.805028,34.73604968,,,体育館,,,
木津第二中学校,きずだいにちゅうがっこう,木津川市兜台６丁目１,135.7856518,34.729403,,,体育館,,,
山城中学校,やましろちゅうがっこう,木津川市山城町椿井柳田３３,135.8164203,34.75718813,,,校長室,,,
泉川中学校,いずみかわちゅうがっこう,木津川市加茂町大野烏田７５,135.862615,34.7459795,,,体育館,,,
